store,name,product_link,price,category
Jalal Sons,Blue Band Margarine 180G,https://jalalsons.com.pk/product/blue-band-margarine-180g-93495,Rs 348,Butter
Jalal Sons,Nurpur Butter 50G(50 G),https://jalalsons.com.pk/product/nurpur-butter-50g-93496,Rs 258,Butter
Jalal Sons,Belle Margarine 250gm(250 G),https://jalalsons.com.pk/product/belle-margarine-250gm-93504,Rs 608,Butter
Jalal Sons,Blue Band Margarine 250G,https://jalalsons.com.pk/product/blue-band-margarine-250g-93488,Rs 494,Butter
Jalal Sons,Blue Band Margarine 90G(100 G),https://jalalsons.com.pk/product/blue-band-margarine-90g-93498,Rs 188,Butter
Jalal Sons,Flora Original 250G(250 G),https://jalalsons.com.pk/product/flora-original-250g-93493,Rs 648,Butter
Jalal Sons,Lurpak Butter 100Gm(100 G),https://jalalsons.com.pk/product/lurpak-butter-100gm-93512,Rs 648,Butter
Jalal Sons,Lurpak Butter Olive250Gm,https://jalalsons.com.pk/product/lurpak-butter-olive250gm-93502,"Rs 1,418",Butter
Jalal Sons,Lurpak Butter Salted 200G,https://jalalsons.com.pk/product/lurpak-butter-salted-200g-93482,"Rs 1,244",Butter
Jalal Sons,Lurpak Butter Unsalt 200G,https://jalalsons.com.pk/product/lurpak-butter-unsalt-200g-93484,"Rs 1,244",Butter
Jalal Sons,Lurpak Butter Unsalt 400G,https://jalalsons.com.pk/product/lurpak-butter-unsalt-400g-93491,"Rs 2,394",Butter
Jalal Sons,Belle Margarine 500gm(500 G),https://jalalsons.com.pk/product/belle-margarine-500gm-93500,Rs 998,Butter
Jalal Sons,Lurpak Light Salted 250G(250 G),https://jalalsons.com.pk/product/lurpak-light-salted-250g-93501,"Rs 1,418",Butter
Jalal Sons,Lurpak Light UnSalted 250Gm,https://jalalsons.com.pk/product/lurpak-light-unsalted-250gm-178970,"Rs 1,418",Butter
Jalal Sons,Lurpak Spread Salted 250G,https://jalalsons.com.pk/product/lurpak-spread-salted-250g-93485,"Rs 1,418",Butter
Jalal Sons,Lurpak Spread Unsalted 250G,https://jalalsons.com.pk/product/lurpak-spread-unsalted-250g-93487,"Rs 1,418",Butter
Jalal Sons,Nurpur Butter 1kg(1 Kg),https://jalalsons.com.pk/product/nurpur-butter-1kg-93505,"Rs 1,994",Butter
Jalal Sons,Nurpur Butter 100G(100 G),https://jalalsons.com.pk/product/nurpur-butter-100g-93483,Rs 414,Butter
Jalal Sons,Nurpur Butter 200G(200 G),https://jalalsons.com.pk/product/nurpur-butter-200g-93480,Rs 794,Butter
Jalal Sons,Nurpur Butter 200g Tub(200 G),https://jalalsons.com.pk/product/nurpur-butter-200g-tub-179014,Rs 594,Butter
Jalal Sons,Nurpur Butter 20Pc 10Gm(10 G),https://jalalsons.com.pk/product/nurpur-butter-20pc-10gm-93506,Rs 898,Butter
Jalal Sons,Nurpur Butter UnSalted 200G,https://jalalsons.com.pk/product/nurpur-butter-unsalted-200g-179020,Rs 778,Butter
Jalal Sons,Prema Butter 190Gm(190 G),https://jalalsons.com.pk/product/prema-butter-190gm-179036,Rs 528,Butter
Jalal Sons,Blue Band Margarine 500G,https://jalalsons.com.pk/product/blue-band-margarine-500g-93489,Rs 914,Butter
Jalal Sons,Flora Original 500G(500 G),https://jalalsons.com.pk/product/flora-original-500g-93494,"Rs 1,148",Butter
Jalal Sons,Ensure Vanilla(400 G),https://jalalsons.com.pk/product/ensure-vanilla-177121,"Rs 3,044",Baby Milk And Food
