store,category,name,price,product_link,common_category,product-link,image_url
al-fateh,dry_fruits_&_dates---fateh,ALMOND ABDUL WAHDI WITH SHELL LOOSE,"Rs.720 - Rs.2,880",https://alfatah.pk/products/almond-abdul-wahdi-with-shell-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,ALMOND QUETTA WITH SHELL LOOSE,"Rs.1,020 - Rs.4,080",https://alfatah.pk/products/almond-quetta-with-shell-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,ALMOND GOLDEN WO SHELL USA S LOOSE,"Rs.1,020 - Rs.4,080",https://alfatah.pk/products/almond-golden-wo-shell-usa-s-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,ALMOND SANORA WO SHELL LOOSE,"Rs.1,300 - Rs.5,200",https://alfatah.pk/products/almond-sanora-wo-shell-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,DRY APRICOT WITH SEED LOOSE,"Rs.620 - Rs.2,480",https://alfatah.pk/products/dry-apricot-with-seed-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,DRY APRICOT GOLDEN WO SEED LOOSE,"Rs.720 - Rs.2,880",https://alfatah.pk/products/dry-apricot-golden-wo-seed-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,FIG HIGH LOOSE,"Rs.1,450 - Rs.5,800",https://alfatah.pk/products/fig-high-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,FIG IRANI GOLL LOOSE,"Rs.1,450 - Rs.5,800",https://alfatah.pk/products/fig-irani-goll-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,MIX DRY FRUITS SPECIAL LOOSE,"Rs.1,170 - Rs.4,680",https://alfatah.pk/products/mix-dry-fruits-special-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,MULBERRY KABLI LOOSE,"Rs.390 - Rs.1,560",https://alfatah.pk/products/mulberry-kabli-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,PISTACHIO EXCELIENCE ROASTED LOOSE,"Rs.1,375 - Rs.5,500",https://alfatah.pk/products/pistachio-excelience-roasted-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,RAISIN MUNAKKA LOOSE,"Rs.545 - Rs.2,180",https://alfatah.pk/products/raisin-munakka-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,RAISIN LONG SELECTED LOOSE,"Rs.620 - Rs.2,480",https://alfatah.pk/products/raisin-long-selected-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,WALNUT PREMIUM WO SHELL LOOSE,"Rs.1,220 - Rs.4,880",https://alfatah.pk/products/walnut-premium-wo-shell-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,WALNUT WHOLE USA LOOSE,"Rs.495 - Rs.1,980",https://alfatah.pk/products/walnut-whole-usa-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,APRICOT CHAPLI LOOSE,"Rs.620 - Rs.2,480",https://alfatah.pk/products/apricot-chapli-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,COCONUT WHOLE LOOSE,"Rs.295 - Rs.1,180",https://alfatah.pk/products/coconut-whole-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,PINE NUT EXCELLENCE LOOSE,"Rs.3,750 - Rs.15,000",https://alfatah.pk/products/pine-nut-excellence-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,PISTACHIO WO SHELL LOOSE,"Rs.2,400 - Rs.9,600",https://alfatah.pk/products/pistachio-wo-shell-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,CASHEW NUT ROASTED PREMIUM LOOSE,"Rs.1,490 - Rs.5,960",https://alfatah.pk/products/cashew-nut-roasted-premium-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,CASHEW NUT ROASTED CHOCOLATE LOOSE,"Rs.1,400 - Rs.5,600",https://alfatah.pk/products/cashew-nut-roasted-chocolate-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,PUMPKIN SEED SALTED LONG LOOSE,"Rs.445 - Rs.1,780",https://alfatah.pk/products/pumpkin-seed-salted-long-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,SUN FLOWER SEEDS ROASTED LOOSE,Rs.245 - Rs.980,https://alfatah.pk/products/sun-flower-seeds-roasted-loose,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,AUK PREMIUM RABBAI DATES 500GM,Rs.595,https://alfatah.pk/products/auk-premium-rabbai-dates-500gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,AUK FOOD ROASTED SKINNED GRAMS (PREMIUM GRADE) 300 GMS,Rs.290,https://alfatah.pk/products/auk-food-roasted-skinned-grams-premium-grade-300-gms,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,SOFT PERSIAN DATES 500 GM (APPROX),Rs.585,https://alfatah.pk/products/soft-persian-dates-500-gm-approx,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,AUK FOOD ROASTED GRAMS WITHOUT SKIN (PREMIUM GRADE) 300 GMS,Rs.345,https://alfatah.pk/products/roasted-grams-without-skin-premium-grade-300-gms,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,AUK PREMIUM RABBI DATES 250GM,Rs.295,https://alfatah.pk/products/auk-premium-rabbi-dates-250gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,KOOZA MISRI 200 GM,Rs.140,https://alfatah.pk/products/kooza-misri-200-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,AUK PREMIUM ZEHDI DATES 500GM,Rs.365,https://alfatah.pk/products/auk-premium-zehdi-dates-500gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,AUK FOODS SWEET SONF MIX POUCH 200 GM,Rs.180,https://alfatah.pk/products/sweet-sonf-mix-pouch-200gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,AUK PREMIUM ZEHDI DATES 400GM,Rs.295,https://alfatah.pk/products/auk-premium-zehdi-dates-400gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,TULSI MEETHA PAN MASALA CLASSIC 48+4 234 GM,Rs.240,https://alfatah.pk/products/tulsi-meetha-pan-masala-classic-48-4-234-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,AUK FOODS PAN MASALA POUCH 150GM,Rs.150,https://alfatah.pk/products/pan-masala-pouch-150gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,COCONUT POWDER 100 GM,Rs.150,https://alfatah.pk/products/coconut-powder-100-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,AUK FOODS SWEET SONF POUCH 200GM,Rs.150,https://alfatah.pk/products/sweet-sonf-pouch-200gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,SWEET SONF MIX BOX 230GM,Rs.220,https://alfatah.pk/products/sweet-sonf-mix-box-210gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,CHAR MAGAZ 100 GM,Rs.220,https://alfatah.pk/products/char-magaz-100-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,QUILL SUPER SIX SEEDS MIX 200GM,Rs.980,https://alfatah.pk/products/quill-super-six-seeds-mix-200gm-1,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,SWEET PAN MASALA BOX 230GM,Rs.180,https://alfatah.pk/products/pan-masala-box-230gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,AL RUBAB SHAHI SWAD 100GM,Rs.285,https://alfatah.pk/products/al-rubab-shahi-swad-100gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,BLUE RIBBON MOUTH FRESHNER SUPARI 130 GM,Rs.240,https://alfatah.pk/products/blue-ribbon-mouth-freshner-supari,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,RASIN SUNDER KHANI IRANI 100 GM,Rs.150,https://alfatah.pk/products/rasin-sunder-khani-irani-100-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,QUILL PUMPKIN SEEDS 150GM,"Rs.1,195",https://alfatah.pk/products/quill-pumpkin-seeds-150gm-1,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,MADINA AJWA DATES PACK 500 GM,"Rs.2,295",https://alfatah.pk/products/madina-ajwa-dates-pack-500-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,AONE PLAIN ROASTED ANISEED JAR 110 GM,Rs.210,https://alfatah.pk/products/aone-plain-roasted-aniseed-jar-110-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,QUILL LOTUS SEEDS 25GM,Rs.315,https://alfatah.pk/products/quill-lotus-seeds-25gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,BLUE RIBBON PAN MASALA BOX 180 GM,Rs.130,https://alfatah.pk/products/blue-ribbon-pan-masala-box-180-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,MADINA MUBROOM DATES PACK 500 GM,"Rs.2,495",https://alfatah.pk/products/madina-mubroom-dates-pack-500-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,A ONE SUPARI PAN MASALA 130 GM,Rs.195,https://alfatah.pk/products/a-one-supari-pan-masala-150-gm,Dry Fruits & Nuts,,
al-fateh,dry_fruits_&_dates---fateh,RASIN SUNDER KHANI QANDHARI 100 GM,Rs.210,https://alfatah.pk/products/rasin-sunder-khani-qandhari-100-gm,Dry Fruits & Nuts,,
