store,category,name,price,cleaned_category,product-link,image_url,standardized_unit,quantity,cleaned_name
al-fateh,dry_fruits_&_dates---fateh,ALMOND ABDUL WAHDI WITH SHELL LOOSE,"Rs.720 - Rs.2,880",Dry Fruits & Nuts,https://alfatah.pk/products/almond-abdul-wahdi-with-shell-loose,,kg,1.0,almond abdul wahdi with shell loose
al-fateh,dry_fruits_&_dates---fateh,ALMOND QUETTA WITH SHELL LOOSE,"Rs.1,020 - Rs.4,080",Dry Fruits & Nuts,https://alfatah.pk/products/almond-quetta-with-shell-loose,,kg,1.0,almond quetta with shell loose
al-fateh,dry_fruits_&_dates---fateh,ALMOND GOLDEN WO SHELL USA S LOOSE,"Rs.1,020 - Rs.4,080",Dry Fruits & Nuts,https://alfatah.pk/products/almond-golden-wo-shell-usa-s-loose,,kg,1.0,almond golden wo shell usa s loose
al-fateh,dry_fruits_&_dates---fateh,ALMOND SANORA WO SHELL LOOSE,"Rs.1,300 - Rs.5,200",Dry Fruits & Nuts,https://alfatah.pk/products/almond-sanora-wo-shell-loose,,kg,1.0,almond sanora wo shell loose
al-fateh,dry_fruits_&_dates---fateh,DRY APRICOT WITH SEED LOOSE,"Rs.620 - Rs.2,480",Dry Fruits & Nuts,https://alfatah.pk/products/dry-apricot-with-seed-loose,,kg,1.0,dry apricot with seed loose
al-fateh,dry_fruits_&_dates---fateh,DRY APRICOT GOLDEN WO SEED LOOSE,"Rs.720 - Rs.2,880",Dry Fruits & Nuts,https://alfatah.pk/products/dry-apricot-golden-wo-seed-loose,,kg,1.0,dry apricot golden wo seed loose
al-fateh,dry_fruits_&_dates---fateh,FIG HIGH LOOSE,"Rs.1,450 - Rs.5,800",Dry Fruits & Nuts,https://alfatah.pk/products/fig-high-loose,,kg,1.0,fig high loose
al-fateh,dry_fruits_&_dates---fateh,FIG IRANI GOLL LOOSE,"Rs.1,450 - Rs.5,800",Dry Fruits & Nuts,https://alfatah.pk/products/fig-irani-goll-loose,,kg,1.0,fig irani goll loose
al-fateh,dry_fruits_&_dates---fateh,MIX DRY FRUITS SPECIAL LOOSE,"Rs.1,170 - Rs.4,680",Dry Fruits & Nuts,https://alfatah.pk/products/mix-dry-fruits-special-loose,,kg,1.0,mix dry fruits special loose
al-fateh,dry_fruits_&_dates---fateh,MULBERRY KABLI LOOSE,"Rs.390 - Rs.1,560",Dry Fruits & Nuts,https://alfatah.pk/products/mulberry-kabli-loose,,kg,1.0,mulberry kabli loose
al-fateh,dry_fruits_&_dates---fateh,PISTACHIO EXCELIENCE ROASTED LOOSE,"Rs.1,375 - Rs.5,500",Dry Fruits & Nuts,https://alfatah.pk/products/pistachio-excelience-roasted-loose,,kg,1.0,pistachio excelience roasted loose
al-fateh,dry_fruits_&_dates---fateh,RAISIN MUNAKKA LOOSE,"Rs.545 - Rs.2,180",Dry Fruits & Nuts,https://alfatah.pk/products/raisin-munakka-loose,,kg,1.0,raisin munakka loose
al-fateh,dry_fruits_&_dates---fateh,RAISIN LONG SELECTED LOOSE,"Rs.620 - Rs.2,480",Dry Fruits & Nuts,https://alfatah.pk/products/raisin-long-selected-loose,,kg,1.0,raisin long selected loose
al-fateh,dry_fruits_&_dates---fateh,WALNUT PREMIUM WO SHELL LOOSE,"Rs.1,220 - Rs.4,880",Dry Fruits & Nuts,https://alfatah.pk/products/walnut-premium-wo-shell-loose,,kg,1.0,walnut premium wo shell loose
al-fateh,dry_fruits_&_dates---fateh,WALNUT WHOLE USA LOOSE,"Rs.495 - Rs.1,980",Dry Fruits & Nuts,https://alfatah.pk/products/walnut-whole-usa-loose,,kg,1.0,walnut whole usa loose
al-fateh,dry_fruits_&_dates---fateh,APRICOT CHAPLI LOOSE,"Rs.620 - Rs.2,480",Dry Fruits & Nuts,https://alfatah.pk/products/apricot-chapli-loose,,kg,1.0,apricot chapli loose
al-fateh,dry_fruits_&_dates---fateh,COCONUT WHOLE LOOSE,"Rs.295 - Rs.1,180",Dry Fruits & Nuts,https://alfatah.pk/products/coconut-whole-loose,,kg,1.0,coconut whole loose
al-fateh,dry_fruits_&_dates---fateh,PINE NUT EXCELLENCE LOOSE,"Rs.3,750 - Rs.15,000",Dry Fruits & Nuts,https://alfatah.pk/products/pine-nut-excellence-loose,,kg,1.0,pine nut excellence loose
al-fateh,dry_fruits_&_dates---fateh,PISTACHIO WO SHELL LOOSE,"Rs.2,400 - Rs.9,600",Dry Fruits & Nuts,https://alfatah.pk/products/pistachio-wo-shell-loose,,kg,1.0,pistachio wo shell loose
al-fateh,dry_fruits_&_dates---fateh,CASHEW NUT ROASTED PREMIUM LOOSE,"Rs.1,490 - Rs.5,960",Dry Fruits & Nuts,https://alfatah.pk/products/cashew-nut-roasted-premium-loose,,kg,1.0,cashew nut roasted premium loose
al-fateh,dry_fruits_&_dates---fateh,CASHEW NUT ROASTED CHOCOLATE LOOSE,"Rs.1,400 - Rs.5,600",Dry Fruits & Nuts,https://alfatah.pk/products/cashew-nut-roasted-chocolate-loose,,kg,1.0,cashew nut roasted chocolate loose
al-fateh,dry_fruits_&_dates---fateh,PUMPKIN SEED SALTED LONG LOOSE,"Rs.445 - Rs.1,780",Dry Fruits & Nuts,https://alfatah.pk/products/pumpkin-seed-salted-long-loose,,kg,1.0,pumpkin seed salted long loose
al-fateh,dry_fruits_&_dates---fateh,SUN FLOWER SEEDS ROASTED LOOSE,Rs.245 - Rs.980,Dry Fruits & Nuts,https://alfatah.pk/products/sun-flower-seeds-roasted-loose,,kg,1.0,sun flower seeds roasted loose
al-fateh,dry_fruits_&_dates---fateh,AUK PREMIUM RABBAI DATES 500GM,Rs.595,Dry Fruits & Nuts,https://alfatah.pk/products/auk-premium-rabbai-dates-500gm,,g,500.0,auk premium rabbai dates
al-fateh,dry_fruits_&_dates---fateh,AUK FOOD ROASTED SKINNED GRAMS (PREMIUM GRADE) 300 GMS,Rs.290,Dry Fruits & Nuts,https://alfatah.pk/products/auk-food-roasted-skinned-grams-premium-grade-300-gms,,g,300.0,auk food roasted skinned grams premium grade
al-fateh,dry_fruits_&_dates---fateh,SOFT PERSIAN DATES 500 GM (APPROX),Rs.585,Dry Fruits & Nuts,https://alfatah.pk/products/soft-persian-dates-500-gm-approx,,g,500.0,soft persian dates approx
al-fateh,dry_fruits_&_dates---fateh,AUK FOOD ROASTED GRAMS WITHOUT SKIN (PREMIUM GRADE) 300 GMS,Rs.345,Dry Fruits & Nuts,https://alfatah.pk/products/roasted-grams-without-skin-premium-grade-300-gms,,g,300.0,auk food roasted grams without skin premium grade
al-fateh,dry_fruits_&_dates---fateh,AUK PREMIUM RABBI DATES 250GM,Rs.295,Dry Fruits & Nuts,https://alfatah.pk/products/auk-premium-rabbi-dates-250gm,,g,250.0,auk premium rabbi dates
al-fateh,dry_fruits_&_dates---fateh,KOOZA MISRI 200 GM,Rs.140,Dry Fruits & Nuts,https://alfatah.pk/products/kooza-misri-200-gm,,g,200.0,kooza misri
al-fateh,dry_fruits_&_dates---fateh,AUK PREMIUM ZEHDI DATES 500GM,Rs.365,Dry Fruits & Nuts,https://alfatah.pk/products/auk-premium-zehdi-dates-500gm,,g,500.0,auk premium zehdi dates
al-fateh,dry_fruits_&_dates---fateh,AUK FOODS SWEET SONF MIX POUCH 200 GM,Rs.180,Dry Fruits & Nuts,https://alfatah.pk/products/sweet-sonf-mix-pouch-200gm,,g,200.0,auk foods sweet sonf mix pouch
al-fateh,dry_fruits_&_dates---fateh,AUK PREMIUM ZEHDI DATES 400GM,Rs.295,Dry Fruits & Nuts,https://alfatah.pk/products/auk-premium-zehdi-dates-400gm,,g,400.0,auk premium zehdi dates
al-fateh,dry_fruits_&_dates---fateh,TULSI MEETHA PAN MASALA CLASSIC 48+4 234 GM,Rs.240,Dry Fruits & Nuts,https://alfatah.pk/products/tulsi-meetha-pan-masala-classic-48-4-234-gm,,g,234.0,tulsi meetha pan masala classic 48+4
al-fateh,dry_fruits_&_dates---fateh,AUK FOODS PAN MASALA POUCH 150GM,Rs.150,Dry Fruits & Nuts,https://alfatah.pk/products/pan-masala-pouch-150gm,,g,150.0,auk foods pan masala pouch
al-fateh,dry_fruits_&_dates---fateh,COCONUT POWDER 100 GM,Rs.150,Dry Fruits & Nuts,https://alfatah.pk/products/coconut-powder-100-gm,,g,100.0,coconut powder
al-fateh,dry_fruits_&_dates---fateh,AUK FOODS SWEET SONF POUCH 200GM,Rs.150,Dry Fruits & Nuts,https://alfatah.pk/products/sweet-sonf-pouch-200gm,,g,200.0,auk foods sweet sonf pouch
al-fateh,dry_fruits_&_dates---fateh,SWEET SONF MIX BOX 230GM,Rs.220,Dry Fruits & Nuts,https://alfatah.pk/products/sweet-sonf-mix-box-210gm,,g,230.0,sweet sonf mix box
al-fateh,dry_fruits_&_dates---fateh,CHAR MAGAZ 100 GM,Rs.220,Dry Fruits & Nuts,https://alfatah.pk/products/char-magaz-100-gm,,g,100.0,char magaz
al-fateh,dry_fruits_&_dates---fateh,QUILL SUPER SIX SEEDS MIX 200GM,Rs.980,Dry Fruits & Nuts,https://alfatah.pk/products/quill-super-six-seeds-mix-200gm-1,,g,200.0,quill super six seeds mix
al-fateh,dry_fruits_&_dates---fateh,SWEET PAN MASALA BOX 230GM,Rs.180,Dry Fruits & Nuts,https://alfatah.pk/products/pan-masala-box-230gm,,g,230.0,sweet pan masala box
al-fateh,dry_fruits_&_dates---fateh,AL RUBAB SHAHI SWAD 100GM,Rs.285,Dry Fruits & Nuts,https://alfatah.pk/products/al-rubab-shahi-swad-100gm,,g,100.0,al rubab shahi swad
al-fateh,dry_fruits_&_dates---fateh,BLUE RIBBON MOUTH FRESHNER SUPARI 130 GM,Rs.240,Dry Fruits & Nuts,https://alfatah.pk/products/blue-ribbon-mouth-freshner-supari,,g,130.0,blue ribbon mouth freshner supari
al-fateh,dry_fruits_&_dates---fateh,RASIN SUNDER KHANI IRANI 100 GM,Rs.150,Dry Fruits & Nuts,https://alfatah.pk/products/rasin-sunder-khani-irani-100-gm,,g,100.0,rasin sunder khani irani
al-fateh,dry_fruits_&_dates---fateh,QUILL PUMPKIN SEEDS 150GM,"Rs.1,195",Dry Fruits & Nuts,https://alfatah.pk/products/quill-pumpkin-seeds-150gm-1,,g,150.0,quill pumpkin seeds
al-fateh,dry_fruits_&_dates---fateh,MADINA AJWA DATES PACK 500 GM,"Rs.2,295",Dry Fruits & Nuts,https://alfatah.pk/products/madina-ajwa-dates-pack-500-gm,,g,500.0,madina ajwa dates pack
al-fateh,dry_fruits_&_dates---fateh,AONE PLAIN ROASTED ANISEED JAR 110 GM,Rs.210,Dry Fruits & Nuts,https://alfatah.pk/products/aone-plain-roasted-aniseed-jar-110-gm,,g,110.0,aone plain roasted aniseed jar
al-fateh,dry_fruits_&_dates---fateh,QUILL LOTUS SEEDS 25GM,Rs.315,Dry Fruits & Nuts,https://alfatah.pk/products/quill-lotus-seeds-25gm,,g,25.0,quill lotus seeds
al-fateh,dry_fruits_&_dates---fateh,BLUE RIBBON PAN MASALA BOX 180 GM,Rs.130,Dry Fruits & Nuts,https://alfatah.pk/products/blue-ribbon-pan-masala-box-180-gm,,g,180.0,blue ribbon pan masala box
al-fateh,dry_fruits_&_dates---fateh,MADINA MUBROOM DATES PACK 500 GM,"Rs.2,495",Dry Fruits & Nuts,https://alfatah.pk/products/madina-mubroom-dates-pack-500-gm,,g,500.0,madina mubroom dates pack
