price,quantity_g,quantity_ml,quantity_pieces,store_Imtiaz,store_Jalal Sons,store_Metro,store_al-fateh,categpory_Baby Food,categpory_Beverages,categpory_Breakfast Foods,categpory_Canned Foods,categpory_Condiments,categpory_Cooking Oils,categpory_Dairy,categpory_Dry Fruits & Nuts,categpory_Snacks,categpory_Spices & Seasonings,categpory_Staples,log_quantity
"Rs.720 - Rs.2,880",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.1,020 - Rs.4,080",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.1,020 - Rs.4,080",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.1,300 - Rs.5,200",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.620 - Rs.2,480",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.720 - Rs.2,880",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.1,450 - Rs.5,800",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.1,450 - Rs.5,800",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.1,170 - Rs.4,680",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.390 - Rs.1,560",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.1,375 - Rs.5,500",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.545 - Rs.2,180",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.620 - Rs.2,480",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.1,220 - Rs.4,880",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.495 - Rs.1,980",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.620 - Rs.2,480",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.295 - Rs.1,180",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.3,750 - Rs.15,000",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.2,400 - Rs.9,600",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.1,490 - Rs.5,960",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.1,400 - Rs.5,600",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
"Rs.445 - Rs.1,780",True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
Rs.245 - Rs.980,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.90875477931522
Rs.595,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.2166061010848646
Rs.290,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,5.707110264748875
Rs.585,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.2166061010848646
Rs.345,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,5.707110264748875
Rs.295,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,5.5254529391317835
Rs.140,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,5.303304908059076
Rs.365,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,6.2166061010848646
Rs.180,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,5.303304908059076
Rs.295,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,5.993961427306569
Rs.240,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,5.459585514144159
Rs.150,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,5.017279836814924
Rs.150,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,4.61512051684126
Rs.150,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,5.303304908059076
Rs.220,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,5.442417710521793
Rs.220,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,4.61512051684126
Rs.980,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,5.303304908059076
Rs.180,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,5.442417710521793
