,store,name,product-link,price,category,image_url
0,Metro,Fruit Farm Mango Juice 200mlX24,https://www.metro-online.pk/detail/beverages/juices/fruit-farm-mango-juice-200mlx24/35434962,Rs. 880,metro-post-grocery,https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1756723435047.jpg&w=3840&q=75
1,Metro,Cola Next 1L,https://www.metro-online.pk/detail/beverages/soft-drinks/cola-next-1l/12625917,Rs. 105,metro-post-grocery,https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12625917-0-M.jpg&w=3840&q=75
2,Metro,Mezan Fizz Up 1Litre x 6,https://www.metro-online.pk/detail/beverages/soft-drinks/mezan-fizz-up-1litre-x-6/12623798,Rs. 615,metro-post-grocery,https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1741685070202.jpg&w=3840&q=75
3,Metro,Capri Soap White 120GM,https://www.metro-online.pk/detail/health-and-beauty/bath-and-soap/fragrant/capri-soap-white-120gm/12621655,Rs. 139,metro-post-grocery,https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12621655-0-M.jpg&w=3840&q=75
4,Metro,Royal Pan 36cm (Anodized),https://www.metro-online.pk/detail/household/kitchen-utensils-and-cutlery/pots-and-pans/royal-pan-36cm-(anodized)/12634457,"Rs. 8,799",metro-post-grocery,https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2Fproducts_images_new%2F12634457-0-M.jpg&w=3840&q=75
5,Metro,Noms Smoky Bbq 64 GM,https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/crisps/noms-smoky-bbq-64-gm/35434954,Rs. 149,metro-post-grocery,https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1756723980101.jpg&w=3840&q=75
6,Metro,Noms Salt & Pepper  64 GM,https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/crisps/noms-salt-&-pepper%C2%A0-64-gm/35434956,Rs. 149,metro-post-grocery,https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1756723727772.jpg&w=3840&q=75
7,Metro,Noms Thai Sweet Chilli 64 GM,https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/crisps/noms-thai-sweet-chilli-64-gm/35434952,Rs. 149,metro-post-grocery,https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.ap-southeast-1.amazonaws.com%2FProducts%2F1756724079884.jpg&w=3840&q=75
8,Metro,Noms Sour Cream & Herb 64 GM,https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/crisps/noms-sour-cream-&-herb-64-gm/35434947,Rs. 149,metro-post-grocery,https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1756724469025.jpg&w=3840&q=75
9,Metro,Noms Chilli Lemon 64 GM,https://www.metro-online.pk/detail/grocery/snacks/crisps-and-popcorn/crisps/noms-chilli-lemon-64-gm/35434949,Rs. 149,metro-post-grocery,https://www.metro-online.pk/_next/image?url=https%3A%2F%2Fmetro-b2c.s3.amazonaws.com%2FProducts%2F1756724404091.jpg&w=3840&q=75
