,store,category,name,price,product-link,image_url
0,al-fateh,Dry Fruits & Dates,ALMOND ABDUL WAHDI WITH SHELL LOOSE,"Rs.720 - Rs.2,880",https://alfatah.pk/products/almond-abdul-wahdi-with-shell-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000194562_85ec83f8-c34d-4b8c-9aff-67a6742a43f5.jpg?v=1733923406
1,al-fateh,Dry Fruits & Dates,ALMOND QUETTA WITH SHELL LOOSE,"Rs.1,020 - Rs.4,080",https://alfatah.pk/products/almond-quetta-with-shell-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000194563_c5f7bc0f-ec07-4501-9aa3-629462676da4.jpg?v=1733923410
2,al-fateh,Dry Fruits & Dates,ALMOND GOLDEN WO SHELL USA S LOOSE,"Rs.1,020 - Rs.4,080",https://alfatah.pk/products/almond-golden-wo-shell-usa-s-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000194567_49d0a343-b519-42a6-af43-1f8cba68b76d.jpg?v=1733923413
3,al-fateh,Dry Fruits & Dates,ALMOND SANORA WO SHELL LOOSE,"Rs.1,300 - Rs.5,200",https://alfatah.pk/products/almond-sanora-wo-shell-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000194571_cac50101-100b-4c75-8e01-b43350ba4592.jpg?v=1733923417
4,al-fateh,Dry Fruits & Dates,DRY APRICOT WITH SEED LOOSE,"Rs.620 - Rs.2,480",https://alfatah.pk/products/dry-apricot-with-seed-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000194572_91487421-106a-4bbb-92bd-a0290151a995.jpg?v=1733923420
5,al-fateh,Dry Fruits & Dates,DRY APRICOT GOLDEN WO SEED LOOSE,"Rs.720 - Rs.2,880",https://alfatah.pk/products/dry-apricot-golden-wo-seed-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000194573_e7978ffc-70da-4173-96bf-9bf06c998bd4.jpg?v=1733923423
6,al-fateh,Dry Fruits & Dates,FIG HIGH LOOSE,"Rs.1,450 - Rs.5,800",https://alfatah.pk/products/fig-high-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000194576_a64291ae-a20f-4033-a682-a1583a102b69.jpg?v=1733923427
7,al-fateh,Dry Fruits & Dates,FIG IRANI GOLL LOOSE,"Rs.1,450 - Rs.5,800",https://alfatah.pk/products/fig-irani-goll-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000194581_df3f15bf-2c1f-4e86-95a6-bddcbb420d79.jpg?v=1733923430
8,al-fateh,Dry Fruits & Dates,MIX DRY FRUITS SPECIAL LOOSE,"Rs.1,170 - Rs.4,680",https://alfatah.pk/products/mix-dry-fruits-special-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000194586_d19f1887-454c-4753-824b-fe5acef93641.jpg?v=1733923433
9,al-fateh,Dry Fruits & Dates,MULBERRY KABLI LOOSE,"Rs.390 - Rs.1,560",https://alfatah.pk/products/mulberry-kabli-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000194588_b166a9cb-c4b5-4dd1-8f8a-e0be6ff81f41.jpg?v=1733923436
10,al-fateh,Dry Fruits & Dates,PISTACHIO EXCELIENCE ROASTED LOOSE,"Rs.1,375 - Rs.5,500",https://alfatah.pk/products/pistachio-excelience-roasted-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000194596_0250b68c-da9d-45ba-983c-fc81c2421da3.jpg?v=1733923439
11,al-fateh,Dry Fruits & Dates,RAISIN MUNAKKA LOOSE,"Rs.545 - Rs.2,180",https://alfatah.pk/products/raisin-munakka-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000194601_48cf83a2-c2b3-41ac-8043-a2932c50edcc.jpg?v=1733923443
12,al-fateh,Dry Fruits & Dates,RAISIN LONG SELECTED LOOSE,"Rs.620 - Rs.2,480",https://alfatah.pk/products/raisin-long-selected-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000194603_7f9b21eb-39fe-45fa-902d-15f27683871a.jpg?v=1733923446
13,al-fateh,Dry Fruits & Dates,WALNUT PREMIUM WO SHELL LOOSE,"Rs.1,220 - Rs.4,880",https://alfatah.pk/products/walnut-premium-wo-shell-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000194605_0ea0ec01-76cc-4c5d-9941-f4477543d717.jpg?v=1733923449
14,al-fateh,Dry Fruits & Dates,WALNUT WHOLE USA LOOSE,"Rs.495 - Rs.1,980",https://alfatah.pk/products/walnut-whole-usa-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000194606_75aad3b6-92eb-4bae-9c3a-618f7a88fa2d.jpg?v=1733923453
15,al-fateh,Dry Fruits & Dates,APRICOT CHAPLI LOOSE,"Rs.620 - Rs.2,480",https://alfatah.pk/products/apricot-chapli-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000194609_bab0298a-20d4-4f1d-8d4e-55e17193d101.jpg?v=1733923456
16,al-fateh,Dry Fruits & Dates,COCONUT WHOLE LOOSE,"Rs.295 - Rs.1,180",https://alfatah.pk/products/coconut-whole-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000194627_155a28a4-011f-443a-ae4d-c05745ae43e6.jpg?v=1733923459
17,al-fateh,Dry Fruits & Dates,PINE NUT EXCELLENCE LOOSE,"Rs.3,750 - Rs.15,000",https://alfatah.pk/products/pine-nut-excellence-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000194642_cbd9b11a-09e7-4cb8-acce-8a344fd06ed1.jpg?v=1733923466
18,al-fateh,Dry Fruits & Dates,PISTACHIO WO SHELL LOOSE,"Rs.2,400 - Rs.9,600",https://alfatah.pk/products/pistachio-wo-shell-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000194645_8e876f37-7561-4611-92ff-cde0a32063f6.jpg?v=1733923469
19,al-fateh,Dry Fruits & Dates,CASHEW NUT ROASTED PREMIUM LOOSE,"Rs.1,490 - Rs.5,960",https://alfatah.pk/products/cashew-nut-roasted-premium-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000520800_0a8c0791-4392-4bc4-89a7-26324d43818c.jpg?v=1733923472
20,al-fateh,Dry Fruits & Dates,CASHEW NUT ROASTED CHOCOLATE LOOSE,"Rs.1,400 - Rs.5,600",https://alfatah.pk/products/cashew-nut-roasted-chocolate-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000520801_748e9823-ca06-4a02-a591-b791f043fc38.jpg?v=1733923476
21,al-fateh,Dry Fruits & Dates,PUMPKIN SEED SALTED LONG LOOSE,"Rs.445 - Rs.1,780",https://alfatah.pk/products/pumpkin-seed-salted-long-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000520803_dd9f081b-72ba-4ba4-87ce-6919a2b8b286.jpg?v=1733923479
22,al-fateh,Dry Fruits & Dates,SUN FLOWER SEEDS ROASTED LOOSE,Rs.245 - Rs.980,https://alfatah.pk/products/sun-flower-seeds-roasted-loose,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/AFP-000520805_ddf13c11-97ec-47d4-9150-18831e434f40.jpg?v=1733923482
23,al-fateh,Dry Fruits & Dates,AUK PREMIUM RABBAI DATES 500GM,Rs.595,https://alfatah.pk/products/auk-premium-rabbai-dates-500gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/0608011474287_77ba9492-3295-487b-a15e-bf136b8477ef.jpg?v=1717246401
24,al-fateh,Dry Fruits & Dates,AUK FOOD ROASTED SKINNED GRAMS (PREMIUM GRADE) 300 GMS,Rs.290,https://alfatah.pk/products/auk-food-roasted-skinned-grams-premium-grade-300-gms,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/0731851006049_854c0866-1f75-41be-b304-d96f2dc89f65.jpg?v=1740572817
25,al-fateh,Dry Fruits & Dates,SOFT PERSIAN DATES 500 GM (APPROX),Rs.585,https://alfatah.pk/products/soft-persian-dates-500-gm-approx,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject-2025-09-27T175008.853.png?v=1758977450
26,al-fateh,Dry Fruits & Dates,AUK FOOD ROASTED GRAMS WITHOUT SKIN (PREMIUM GRADE) 300 GMS,Rs.345,https://alfatah.pk/products/roasted-grams-without-skin-premium-grade-300-gms,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/0675162125146_a7f5c4d7-d500-4a49-9804-5c5dcbb87abe.jpg?v=1717246413
27,al-fateh,Dry Fruits & Dates,AUK PREMIUM RABBI DATES 250GM,Rs.295,https://alfatah.pk/products/auk-premium-rabbi-dates-250gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/0608011474294_0805353b-2423-465b-ad1d-b65648a003f6.jpg?v=1726920281
28,al-fateh,Dry Fruits & Dates,KOOZA MISRI 200 GM,Rs.140,https://alfatah.pk/products/kooza-misri-200-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/2000000301594.jpg?v=1738654886
29,al-fateh,Dry Fruits & Dates,AUK PREMIUM ZEHDI DATES 500GM,Rs.365,https://alfatah.pk/products/auk-premium-zehdi-dates-500gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_7_36ac1681-218b-4150-aa0e-7a7ed2922e19.png?v=1739873667
30,al-fateh,Dry Fruits & Dates,AUK FOODS SWEET SONF MIX POUCH 200 GM,Rs.180,https://alfatah.pk/products/sweet-sonf-mix-pouch-200gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_2_2067ffe2-73ec-4233-af36-04adc2237d0d.png?v=1762003609
