,store,name,product-link,price,category,image_url
0,Jalal Sons,Blue Band Margarine 180G,https://jalalsons.com.pk/product/blue-band-margarine-180g-93495,Rs 348,Butter,https://static.tossdown.com/images/a28f412b-a4f1-46db-aa49-050d83aad018.webp
1,Jalal Sons,Nurpur Butter 50G(50 G),https://jalalsons.com.pk/product/nurpur-butter-50g-93496,Rs 258,Butter,https://static.tossdown.com/images/4b5263a9-3093-4fe6-8e02-f6d49d660eeb.webp
2,Jalal Sons,Belle Margarine 250gm(250 G),https://jalalsons.com.pk/product/belle-margarine-250gm-93504,Rs 608,Butter,https://static.tossdown.com/images/0ed1db9d-68cf-459a-9b9c-42f2b966ebd3.webp
3,Jalal Sons,Blue Band Margarine 250G,https://jalalsons.com.pk/product/blue-band-margarine-250g-93488,Rs 494,Butter,https://static.tossdown.com/images/a57daf10-4acf-4eaf-a140-07337ff5efde.webp
4,Jalal Sons,Blue Band Margarine 90G(100 G),https://jalalsons.com.pk/product/blue-band-margarine-90g-93498,Rs 188,Butter,https://static.tossdown.com/images/46b1de0f-d3cd-45b4-8f29-153ca3215056.webp
5,Jalal Sons,Flora Original 250G(250 G),https://jalalsons.com.pk/product/flora-original-250g-93493,Rs 648,Butter,https://static.tossdown.com/images/12e1b823-07cf-44bb-9061-9e3012471b95.webp
6,Jalal Sons,Lurpak Butter 100Gm(100 G),https://jalalsons.com.pk/product/lurpak-butter-100gm-93512,Rs 648,Butter,https://static.tossdown.com/images/40f515ea-0e22-4f29-a07a-f8bc36cb32f0.webp
7,Jalal Sons,Lurpak Butter Olive250Gm,https://jalalsons.com.pk/product/lurpak-butter-olive250gm-93502,"Rs 1,418",Butter,https://static.tossdown.com/images/f6437892-2596-46a4-95c4-5b55db50f70c.webp
8,Jalal Sons,Lurpak Butter Salted 200G,https://jalalsons.com.pk/product/lurpak-butter-salted-200g-93482,"Rs 1,244",Butter,https://static.tossdown.com/images/ad901e9d-1104-47f1-80b9-504ab76c107f.webp
9,Jalal Sons,Lurpak Butter Unsalt 200G,https://jalalsons.com.pk/product/lurpak-butter-unsalt-200g-93484,"Rs 1,244",Butter,https://static.tossdown.com/images/c00eaa1b-72f1-449e-a1b4-5385503da59a.webp
10,Jalal Sons,Lurpak Butter Unsalt 400G,https://jalalsons.com.pk/product/lurpak-butter-unsalt-400g-93491,"Rs 2,394",Butter,https://static.tossdown.com/images/c1043841-70dd-4845-8faa-4b4bff67d460.webp
11,Jalal Sons,Belle Margarine 500gm(500 G),https://jalalsons.com.pk/product/belle-margarine-500gm-93500,Rs 998,Butter,https://static.tossdown.com/images/f28dffd8-f3e2-4a9a-ab7b-674bab41f62e.webp
12,Jalal Sons,Lurpak Light Salted 250G(250 G),https://jalalsons.com.pk/product/lurpak-light-salted-250g-93501,"Rs 1,418",Butter,https://static.tossdown.com/images/85282192-95ca-4937-8a58-151fe265e9e1.webp
13,Jalal Sons,Lurpak Light UnSalted 250Gm,https://jalalsons.com.pk/product/lurpak-light-unsalted-250gm-178970,"Rs 1,418",Butter,https://static.tossdown.com/images/da812fff-177b-4fe1-847d-77b40b675c1f.webp
14,Jalal Sons,Lurpak Spread Salted 250G,https://jalalsons.com.pk/product/lurpak-spread-salted-250g-93485,"Rs 1,418",Butter,https://static.tossdown.com/images/dd1bd120-41db-41bb-b106-3db236ec1e9a.webp
15,Jalal Sons,Lurpak Spread Unsalted 250G,https://jalalsons.com.pk/product/lurpak-spread-unsalted-250g-93487,"Rs 1,418",Butter,https://static.tossdown.com/images/52c5abcc-54c7-419d-898d-6a70e6635d82.webp
16,Jalal Sons,Nurpur Butter 1kg(1 Kg),https://jalalsons.com.pk/product/nurpur-butter-1kg-93505,"Rs 1,994",Butter,https://static.tossdown.com/images/f27f807d-fb7e-4555-8782-28692770f92e.webp
17,Jalal Sons,Nurpur Butter 100G(100 G),https://jalalsons.com.pk/product/nurpur-butter-100g-93483,Rs 414,Butter,https://static.tossdown.com/images/f8f396a3-5c68-401d-bfc1-c7cf5bee20da.webp
18,Jalal Sons,Nurpur Butter 200G(200 G),https://jalalsons.com.pk/product/nurpur-butter-200g-93480,Rs 794,Butter,https://static.tossdown.com/images/f1ace4b2-3fdf-4243-8b96-b99353aa8118.webp
19,Jalal Sons,Nurpur Butter 200g Tub(200 G),https://jalalsons.com.pk/product/nurpur-butter-200g-tub-179014,Rs 594,Butter,https://static.tossdown.com/images/f6816844-da4b-4e84-af87-003d8e3a2ab9.webp
20,Jalal Sons,Nurpur Butter 20Pc 10Gm(10 G),https://jalalsons.com.pk/product/nurpur-butter-20pc-10gm-93506,Rs 898,Butter,https://static.tossdown.com/images/6150fa92-146e-4196-9eef-f12829d4b99c.webp
