store,category,name,product-link,image_url,cleaned_category,cleaned_name,cleaned_quantity,cleaned_unit,cleaned_price,price_per_unit,predicted_price_elastic_net,predicted_price_linear_regression,predicted_price_random_forest
al-fateh,baby_food---fateh,MORINAGA BF-GRO3 VANILLA BOX 900 GM,https://alfatah.pk/products/morinaga-bf-gro3-vanilla-box-900-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_3_13fb025e-83e1-4093-8991-6bacb09b73c9.png?v=1743669050,Baby Food,morinaga bf-gro3 vanilla box,900.0,g,3445.0,3.827777777777778,3381.2847670290257,3378.215172086356,3319.985596479213
al-fateh,baby_food---fateh,NESTLE NIDO MILK POWDER GROWING UP FORMULA 1PLUS 900 GM,https://alfatah.pk/products/nestle-nido-milk-powder-growing-up-formula-1plus-900-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_9_906c132e-13ee-4420-8d43-ebb0f8175070.png?v=1750501191,Baby Food,nestle nido milk powder growing up formula 1plus,900.0,g,2595.0,2.8833333333333333,2601.365485696016,2594.749993447223,2628.3199570672305
al-fateh,baby_food---fateh,NESTLE CERELAC RICE 175 GM,https://alfatah.pk/products/nestle-cerelac-rice-175-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_10_eaabcdf6-1cf4-426f-9940-710bc150d40e.png?v=1749716282,Baby Food,nestle cerelac rice,175.0,g,440.0,2.5142857142857142,451.50592839746565,449.576086293314,440.1025359482125
al-fateh,baby_food---fateh,NESTLE NIDO MILK POWDER 3PLUS ECONOMY PACK 800 GM,https://alfatah.pk/products/nestle-nido-milk-powder-3plus-economy-pack-800-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_6_dbd9a464-b336-40c2-a963-20d99193f43d.jpg?v=1762335803,Baby Food,nestle nido milk powder 3plus economy pack,800.0,g,2345.0,2.93125,2347.6097444354177,2341.6904482349896,2422.521950703789
al-fateh,baby_food---fateh,MEIJI BIG MILK POWDER VANILLA 3 900 GM,https://alfatah.pk/products/meiji-big-milk-powder-vanilla-3-900-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_5_65d88388-c76e-41e4-976d-ae3d5d8669b1.png?v=1743661181,Baby Food,meiji big milk powder vanilla 3,900.0,g,4845.0,5.383333333333334,4733.4749607087815,4739.125770658282,4828.62518582673
al-fateh,baby_food---fateh,NESTLE CERELAC MULTIGRAIN DATES & BANANA 12 MONTHS 350GM,https://alfatah.pk/products/nestle-cerelac-multigrain-dates-banana-12-months-350gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_19_3e865747-77e0-4900-8f21-a5436df91c1b.png?v=1749723450,Baby Food,nestle cerelac multigrain dates & banana 12 months,350.0,g,1195.0,3.414285714285714,1184.6112280615532,1182.0699550969634,1151.3841774855532
al-fateh,baby_food---fateh,NESTLE CERELAC THREE FRUITS AND WHEAT 350 GM,https://alfatah.pk/products/nestle-cerelac-three-fruits-and-wheat-350-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_18_d4266595-fd3d-42c3-9cae-f63e999c4394.png?v=1749723387,Baby Food,nestle cerelac three fruits and wheat,350.0,g,845.0,2.414285714285714,869.1788295004508,865.6376010953086,857.00855648914
al-fateh,baby_food---fateh,MEIJI FU FOLLOW UP FORMULA TIN 2 900 GM,https://alfatah.pk/products/meiji-fu-follow-up-formula-2-900-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/4902705127067_1_5648edd1-3d95-4412-bf82-311bd4e5947f.jpg?v=1707219005,Baby Food,meiji fu follow up formula tin 2,900.0,g,4845.0,5.383333333333334,4733.4749607087815,4739.125770658282,4828.62518582673
al-fateh,baby_food---fateh,MEIJI FM-T INFANT FORMULA FROM BIRTH TIN 1 900 GM,https://alfatah.pk/products/meiji-fm-t-infant-formula-from-birth-1-900-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_4_d9f1b86b-dd0f-438c-8168-56bab2d15098.png?v=1740468305,Baby Food,meiji fm-t infant formula from birth tin 1,900.0,g,4845.0,5.383333333333334,4733.4749607087815,4739.125770658282,4828.62518582673
al-fateh,baby_food---fateh,MORINAGA BF-3 GROWING UP FORMULA VANILLA TIN 900 GM,https://alfatah.pk/products/morinaga-bf-3-growing-up-formula-vanilla-tin-900-gm,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_3_860d1c8f-6910-4631-97f9-0049c540348e.png?v=1750395313,Baby Food,morinaga bf-3 growing up formula vanilla tin,900.0,g,5595.0,6.216666666666667,5487.314911989947,5498.939088176814,5446.8755484584635
al-fateh,baby_food---fateh,NESTLE CERELAC MULTIGRAIN DATES BANANALICIOUS HEAVEN 175 GM,https://alfatah.pk/products/nestle-cerelac-multigrain-dates-bananalicious-heaven-175-g,https://cdn.shopify.com/s/files/1/0777/0954/1664/files/NewProject_1_03d864f7-e4bc-4e1b-a0d3-c5e2275ea492.png?v=1749628776,Baby Food,nestle cerelac multigrain dates bananalicious heaven,175.0,g,610.0,3.4857142857142858,606.0938221841694,604.6154141346091,609.5882123681207
